mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift,decision_flipped
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,warmth,0.1,-19.265625,2.828125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,warmth,0.1,-19.53125,2.53125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,warmth,0.1,-19.953125,2.390625,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,warmth,0.1,-16.62890625,2.99609375,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,warmth,0.1,-20.015625,2.578125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,warmth,0.1,-20.234375,2.546875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,warmth,0.1,-20.8125,2.0,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,warmth,0.1,-20.671875,2.171875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,warmth,0.1,-20.046875,2.046875,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,warmth,0.1,-20.03125,2.53125,warmth,warmth,target,,raw,additive,sd_matched,3.4224260327843976,9.781890869140625,2.8581745158075282,0.036201708018779755,False
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,competence,-0.1,15.5,-2.30078125,warmth,competence,cross_axis,,raw,additive,sd_matched,3.768838469720317,-10.771998068349653,-2.8581745158075282,0.02278214879333973,False
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,-0.1,15.296875,-2.46484375,warmth,competence,cross_axis,,raw,additive,sd_matched,3.768838469720317,-10.771998068349653,-2.8581745158075282,0.02278214879333973,False
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,-0.1,15.484375,-2.7783203125,warmth,competence,cross_axis,,raw,additive,sd_matched,3.768838469720317,-10.771998068349653,-2.8581745158075282,0.02278214879333973,False
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,competence,-0.1,16.296875,-2.421875,warmth,competence,cross_axis,,raw,additive,sd_matched,3.768838469720317,-10.771998068349653,-2.8581745158075282,0.02278214879333973,False
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,competence,-0.1,15.7578125,-2.724609375,warmth,competence,cross_axis,,raw,additive,sd_matched,3.768838469720317,-10.771998068349653,-2.8581745158075282,0.02303079329431057,False
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,competence,-0.1,14.453125,-2.90625,warmth,competence,cross_axis,,raw,additive,sd_matched,3.768838469720317,-10.771998068349653,-2.8581745158075282,0.02303079329431057,False
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,competence,-0.1,15.53125,-2.931640625,warmth,competence,cross_axis,,raw,additive,sd_matched,3.768838469720317,-10.771998068349653,-2.8581745158075282,0.02303079329431057,False
