mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_040,0.05,-3.0390625,20.0859375,competence,,random,040,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_040,0.05,-4.27734375,17.72265625,competence,,random,040,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_040,0.05,-4.2890625,18.3984375,competence,,random,040,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_040,0.05,-2.9921875,18.0078125,competence,,random,040,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_040,0.05,-4.32421875,17.86328125,competence,,random,040,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_040,0.05,-4.5335693359375,17.0914306640625,competence,,random,040,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_040,0.05,-3.455078125,18.013671875,competence,,random,040,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_040,0.05,-4.1328125,16.6171875,competence,,random,040,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_040,0.05,-4.625,17.0625,competence,,random,040,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_040,0.05,-3.83984375,17.78515625,competence,,random,040,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_040,0.1,-5.1875,-26.6875,competence,,random,040,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_040,0.1,-7.21875,-28.65625,competence,,random,040,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_040,0.1,-5.375,-26.0,competence,,random,040,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_040,0.1,-2.0625,-23.0625,competence,,random,040,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_040,0.1,-2.125,-22.625,competence,,random,040,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_040,0.1,-4.3125,-26.0,competence,,random,040,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_040,0.1,-4.9375,-25.75,competence,,random,040,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_040,0.1,-4.875,-26.0625,competence,,random,040,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_040,0.1,-5.3125,-26.75,competence,,random,040,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_040,0.1,-1.875,-21.9375,competence,,random,040,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_040,0.1,-4.875,18.25,competence,,random,040,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_040,0.1,-4.5,17.5,competence,,random,040,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_040,0.1,-4.0,18.6875,competence,,random,040,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_040,0.1,-4.3125,16.6875,competence,,random,040,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_040,0.1,-3.625,18.5625,competence,,random,040,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_040,0.1,-4.5625,17.0625,competence,,random,040,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_040,0.1,-4.0,17.46875,competence,,random,040,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_040,0.1,-3.125,17.625,competence,,random,040,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_040,0.1,-4.0625,17.625,competence,,random,040,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_040,0.1,-3.6875,17.9375,competence,,random,040,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_041,-0.1,4.0,-17.5,competence,,random,041,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_041,-0.1,6.46875,-14.96875,competence,,random,041,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_041,-0.1,1.265625,-19.359375,competence,,random,041,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_041,-0.1,3.125,-17.875,competence,,random,041,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_041,-0.1,2.984375,-17.515625,competence,,random,041,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_041,-0.1,3.578125,-18.109375,competence,,random,041,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_041,-0.1,3.75,-17.0625,competence,,random,041,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_041,-0.1,2.40625,-18.78125,competence,,random,041,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_041,-0.1,4.728515625,-16.708984375,competence,,random,041,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_041,-0.1,3.84375,-16.21875,competence,,random,041,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_041,-0.1,2.046875,25.171875,competence,,random,041,denoised
steering,competence,low_competence_t003_s00031,3,low_competence,0,random_041,-0.1,-0.4375,21.5625,competence,,random,041,denoised
steering,competence,low_competence_t008_s00051,8,low_competence,0,random_041,-0.1,-0.90625,21.78125,competence,,random,041,denoised
steering,competence,low_competence_t035_s00095,35,low_competence,0,random_041,-0.1,-0.03125,20.96875,competence,,random,041,denoised
steering,competence,low_competence_t056_s00131,56,low_competence,0,random_041,-0.1,-0.0625,22.125,competence,,random,041,denoised
steering,competence,low_competence_t057_s00135,57,low_competence,0,random_041,-0.1,0.0625,21.6875,competence,,random,041,denoised
steering,competence,low_competence_t066_s00143,66,low_competence,0,random_041,-0.1,1.40625,22.875,competence,,random,041,denoised
steering,competence,low_competence_t078_s00167,78,low_competence,0,random_041,-0.1,0.546875,21.296875,competence,,random,041,denoised
steering,competence,low_competence_t079_s00171,79,low_competence,0,random_041,-0.1,2.984375,24.671875,competence,,random,041,denoised
steering,competence,low_competence_t097_s00199,97,low_competence,0,random_041,-0.1,1.09375,22.71875,competence,,random,041,denoised
steering,competence,high_competence_t019_s00006,19,high_competence,1,random_041,-0.05,8.0625,-13.4375,competence,,random,041,denoised
steering,competence,high_competence_t003_s00030,3,high_competence,1,random_041,-0.05,9.96875,-11.46875,competence,,random,041,denoised
steering,competence,high_competence_t008_s00050,8,high_competence,1,random_041,-0.05,7.5625,-13.0625,competence,,random,041,denoised
steering,competence,high_competence_t035_s00094,35,high_competence,1,random_041,-0.05,9.0,-12.0,competence,,random,041,denoised
steering,competence,high_competence_t056_s00130,56,high_competence,1,random_041,-0.05,11.34375,-9.15625,competence,,random,041,denoised
steering,competence,high_competence_t057_s00134,57,high_competence,1,random_041,-0.05,8.0,-13.6875,competence,,random,041,denoised
steering,competence,high_competence_t066_s00142,66,high_competence,1,random_041,-0.05,7.3125,-13.5,competence,,random,041,denoised
steering,competence,high_competence_t078_s00166,78,high_competence,1,random_041,-0.05,5.5,-15.6875,competence,,random,041,denoised
steering,competence,high_competence_t079_s00170,79,high_competence,1,random_041,-0.05,5.25,-16.1875,competence,,random,041,denoised
steering,competence,high_competence_t097_s00198,97,high_competence,1,random_041,-0.05,8.90625,-11.15625,competence,,random,041,denoised
steering,competence,low_competence_t019_s00007,19,low_competence,0,random_041,-0.05,4.125,27.25,competence,,random,041,denoised
