alpha_absolute,axis,condition,control_scale,decision_flipped,delta_margin,direction,direction_sd,direction_type,intervention,judgment_axis,label,margin,max_relative_norm_drift,mode,random_id,standardized_shift,steering_axis,story_id,strength,topic_idx,vector_kind
9.426263427734375,warmth,low_warmth,sd_matched,False,0.21875,warmth,5.439453029132101,target,additive,warmth,0,-25.28125,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t003_s00029,0.05,3,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,-0.0625,warmth,5.439453029132101,target,additive,warmth,0,-26.03125,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t008_s00049,0.05,8,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,-0.21875,warmth,5.439453029132101,target,additive,warmth,0,-25.71875,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t035_s00093,0.05,35,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,0.09375,warmth,5.439453029132101,target,additive,warmth,0,-25.53125,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t056_s00129,0.05,56,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,0.21875,warmth,5.439453029132101,target,additive,warmth,0,-25.1875,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t057_s00133,0.05,57,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,0.21875,warmth,5.439453029132101,target,additive,warmth,0,-25.90625,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t066_s00141,0.05,66,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,0.125,warmth,5.439453029132101,target,additive,warmth,0,-25.8125,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t078_s00165,0.05,78,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,-0.0625,warmth,5.439453029132101,target,additive,warmth,0,-24.9375,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t079_s00169,0.05,79,raw
9.426263427734375,warmth,low_warmth,sd_matched,False,0.40625,warmth,5.439453029132101,target,additive,warmth,0,-25.1875,0.017220495268702507,steering,,1.7329432531635254,warmth,low_warmth_t097_s00197,0.05,97,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.21875,warmth,5.439453029132101,target,additive,warmth,1,27.03125,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t019_s00004,0.1,19,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.6875,warmth,5.439453029132101,target,additive,warmth,1,25.0625,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t003_s00028,0.1,3,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.4375,warmth,5.439453029132101,target,additive,warmth,1,26.6875,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t008_s00048,0.1,8,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.34375,warmth,5.439453029132101,target,additive,warmth,1,26.65625,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t035_s00092,0.1,35,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.21875,warmth,5.439453029132101,target,additive,warmth,1,26.90625,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t056_s00128,0.1,56,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.5,warmth,5.439453029132101,target,additive,warmth,1,26.375,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t057_s00132,0.1,57,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.4375,warmth,5.439453029132101,target,additive,warmth,1,27.3125,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t066_s00140,0.1,66,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.3125,warmth,5.439453029132101,target,additive,warmth,1,26.90625,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t078_s00164,0.1,78,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.46875,warmth,5.439453029132101,target,additive,warmth,1,26.96875,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t079_s00168,0.1,79,raw
18.85252685546875,warmth,high_warmth,sd_matched,False,0.53125,warmth,5.439453029132101,target,additive,warmth,1,27.0,0.03817226365208626,steering,,3.4658865063270508,warmth,high_warmth_t097_s00196,0.1,97,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.5,warmth,5.439453029132101,target,additive,warmth,0,-25.34375,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t019_s00005,0.1,19,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.625,warmth,5.439453029132101,target,additive,warmth,0,-24.875,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t003_s00029,0.1,3,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.59375,warmth,5.439453029132101,target,additive,warmth,0,-25.375,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t008_s00049,0.1,8,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.375,warmth,5.439453029132101,target,additive,warmth,0,-25.125,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t035_s00093,0.1,35,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.5,warmth,5.439453029132101,target,additive,warmth,0,-25.125,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t056_s00129,0.1,56,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.46875,warmth,5.439453029132101,target,additive,warmth,0,-24.9375,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t057_s00133,0.1,57,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.375,warmth,5.439453029132101,target,additive,warmth,0,-25.75,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t066_s00141,0.1,66,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.4375,warmth,5.439453029132101,target,additive,warmth,0,-25.5,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t078_s00165,0.1,78,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.375,warmth,5.439453029132101,target,additive,warmth,0,-24.5,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t079_s00169,0.1,79,raw
18.85252685546875,warmth,low_warmth,sd_matched,False,0.34375,warmth,5.439453029132101,target,additive,warmth,0,-25.25,0.03817226365208626,steering,,3.4658865063270508,warmth,low_warmth_t097_s00197,0.1,97,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-0.96875,competence,6.359379955173195,cross_axis,additive,warmth,1,25.84375,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t019_s00004,-0.1,19,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-1.328125,competence,6.359379955173195,cross_axis,additive,warmth,1,23.046875,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t003_s00028,-0.1,3,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-0.96875,competence,6.359379955173195,cross_axis,additive,warmth,1,25.28125,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t008_s00048,-0.1,8,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-0.96875,competence,6.359379955173195,cross_axis,additive,warmth,1,25.34375,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t035_s00092,-0.1,35,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-1.03125,competence,6.359379955173195,cross_axis,additive,warmth,1,25.65625,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t056_s00128,-0.1,56,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-0.8125,competence,6.359379955173195,cross_axis,additive,warmth,1,25.0625,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t057_s00132,-0.1,57,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-1.25,competence,6.359379955173195,cross_axis,additive,warmth,1,25.625,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t066_s00140,-0.1,66,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-0.96875,competence,6.359379955173195,cross_axis,additive,warmth,1,25.625,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t078_s00164,-0.1,78,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-1.09375,competence,6.359379955173195,cross_axis,additive,warmth,1,25.40625,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t079_s00168,-0.1,79,raw
-22.040889175241503,warmth,high_warmth,sd_matched,False,-0.96875,competence,6.359379955173195,cross_axis,additive,warmth,1,25.5,0.054986342787742615,steering,,-3.4658865063270508,competence,high_warmth_t097_s00196,-0.1,97,raw
