mode,axis,direction,strength,effect,ci_low,ci_high,n,intervention,control_scale,direction_sd,alpha_absolute,standardized_shift,max_relative_norm_drift
steering,competence,random_009,0.05,0.00625,-0.01875,0.03125,20,norm_preserving,sd_matched,0.19989132956922306,0.17308329333374514,0.8658869482070547,7.33232227503322e-05
steering,competence,random_009,0.1,0.03125,0.0125,0.05,20,additive,sd_matched,0.19989132956922306,0.3461665866674903,1.7317738964141094,0.00016107784176710993
steering,competence,random_009,0.1,0.03125,0.0125,0.05,20,norm_preserving,sd_matched,0.19989132956922306,0.3461665866674903,1.7317738964141094,0.00016107784176710993
steering,competence,random_010,-0.1,0.0125,-0.0375,0.06875,20,additive,sd_matched,0.21232864535035734,-0.3677052054787179,-1.7317738964141094,0.00013210315955802798
steering,competence,random_010,-0.1,0.0125,-0.0375,0.06875,20,norm_preserving,sd_matched,0.21232864535035734,-0.3677052054787179,-1.7317738964141094,0.00013210315955802798
steering,competence,random_010,-0.05,0.0125,-0.03125,0.05,20,additive,sd_matched,0.21232864535035734,-0.18385260273935894,-0.8658869482070547,6.014115206198767e-05
steering,competence,random_010,-0.05,0.0125,-0.03125,0.05,20,norm_preserving,sd_matched,0.21232864535035734,-0.18385260273935894,-0.8658869482070547,6.014115206198767e-05
steering,competence,random_010,0.0,0.0,0.0,0.0,20,additive,sd_matched,0.21232864535035734,0.0,0.0,0.0
steering,competence,random_010,0.0,0.0,0.0,0.0,20,norm_preserving,sd_matched,0.21232864535035734,0.0,0.0,0.0
steering,competence,random_010,0.05,0.01875,-0.01875,0.05625,20,additive,sd_matched,0.21232864535035734,0.18385260273935894,0.8658869482070547,6.18759950157255e-05
steering,competence,random_010,0.05,0.01875,-0.01875,0.05625,20,norm_preserving,sd_matched,0.21232864535035734,0.18385260273935894,0.8658869482070547,6.18759950157255e-05
steering,competence,random_010,0.1,-0.00625,-0.0375,0.025,20,additive,sd_matched,0.21232864535035734,0.3677052054787179,1.7317738964141094,0.00014386943075805902
steering,competence,random_010,0.1,-0.00625,-0.0375,0.025,20,norm_preserving,sd_matched,0.21232864535035734,0.3677052054787179,1.7317738964141094,0.00014386943075805902
steering,competence,random_011,-0.1,0.0375,0.0125,0.075,20,additive,sd_matched,0.22584774570049487,-0.3911172305680889,-1.7317738964141092,0.0001864716614363715
steering,competence,random_011,-0.1,0.0375,0.0125,0.075,20,norm_preserving,sd_matched,0.22584774570049487,-0.3911172305680889,-1.7317738964141092,0.0001864716614363715
steering,competence,random_011,-0.05,0.0,-0.04375,0.05,20,additive,sd_matched,0.22584774570049487,-0.19555861528404445,-0.8658869482070546,0.00010154531628359109
