name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
chritine,46.5,25.5,neumark,2,25222.6171875,24288.763671875,0.625
chrostopher,42.0,65.0,neumark,2,24596.84765625,23678.958984375,1.0
claire kruger,49.97,65.54,nunley,100,26668.5390625,25652.919921875,1.375
cody baker,53.58,61.5,nunley,100,26519.23828125,25500.76953125,1.0
courtney,36.5,83.0,neumark,2,26489.212890625,25503.275390625,0.625
cynthia,50.5,60.25,neumark,4,26927.888671875,25919.5546875,0.875
daniel,55.0,65.5,neumark,2,26600.25390625,25620.076171875,1.75
danielle,75.0,58.0,neumark,2,26591.146484375,25623.26171875,1.375
darius jackson,49.46296296296296,55.851851851851855,gorzig,54,26152.89453125,25163.5703125,1.875
darnell,49.95454545454545,52.672077922077925,bertrand,308,25354.072265625,24459.73828125,2.25
david,56.0,63.0,neumark,1,26551.06640625,25560.212890625,1.125
david schmitt,52.80555555555556,69.47222222222223,widner,36,26332.46875,25345.31640625,1.25
dawn,74.0,51.5,neumark,2,26799.95703125,25792.134765625,1.375
deandre washington,44.25,47.2,nunley,100,25343.5234375,24382.6796875,1.5
deborah,42.5,59.5,neumark,2,26726.06640625,25731.609375,1.5
debra,46.0,53.5,neumark,4,26682.052734375,25663.232421875,1.125
dennis,37.5,38.0,neumark,2,26546.95703125,25548.931640625,1.875
deshawn jefferson,45.4,45.85,nunley,100,25592.5234375,24655.431640625,1.25
diane,50.0,65.0,neumark,1,26734.880859375,25731.994140625,0.875
donald,12.0,40.0,neumark,1,26607.232421875,25624.15625,0.75
dong liu,50.22222222222222,63.22222222222222,oreopoulos,18,26431.40234375,25454.99609375,0.25
donna,57.883495145631066,59.699029126213595,farber,103,26726.9609375,25733.23828125,0.875
donnell,50.396039603960396,48.42574257425743,flake_leasure,202,26005.140625,25047.017578125,2.375
dorothy,70.0,72.0,neumark,1,26991.791015625,25981.357421875,0.875
dziella lousaper,49.72649572649573,52.82051282051282,jacquemet,117,24043.080078125,23151.40625,1.0
ebony,51.80065359477124,49.669934640522875,bertrand,306,26743.3984375,25759.322265625,1.625
ebony booker,49.16,49.73,nunley,100,26713.78125,25701.712890625,1.25
ebony williams,61.76470588235294,60.88235294117647,jacquemet,51,26895.830078125,25875.595703125,1.125
edona sanastroug,40.53191489361702,45.702127659574465,jacquemet,47,24419.955078125,23480.884765625,0.5
edona sanatroug,58.22222222222222,65.47619047619048,jacquemet,63,24565.224609375,23605.619140625,1.0
edward,57.666666666666664,73.33333333333333,neumark,3,26584.8203125,25609.830078125,0.625
emily,66.26384364820846,64.90228013029316,bertrand,307,26923.51953125,25904.60546875,1.25
emily brown,76.28571428571429,70.42857142857143,oreopoulos,14,26972.416015625,25903.21484375,0.625
emma,77.66666666666667,68.33333333333333,neumark,3,26753.57421875,25734.80078125,1.125
eric wang,52.46153846153846,80.3076923076923,oreopoulos,13,26792.279296875,25755.55078125,1.625
erin,64.1980198019802,63.0,flake_leasure,202,26561.041015625,25561.85546875,1.25
ethan,30.333333333333332,68.0,neumark,3,26741.96875,25752.767578125,1.75
fang wang,53.5,62.25,oreopoulos,12,26712.046875,25683.572265625,0.375
fathia hassan,44.67307692307692,43.42307692307692,gorzig,52,25393.3671875,24455.578125,1.0
fatima sheikh,53.666666666666664,42.888888888888886,oreopoulos,9,26729.732421875,25702.7890625,1.25
frank,37.166666666666664,51.333333333333336,neumark,6,26748.37890625,25742.5234375,1.25
gadarine besnik,49.26086956521739,57.02608695652174,jacquemet,115,24623.12109375,23696.201171875,0.375
geoffrey,53.003246753246756,63.22402597402598,bertrand,308,26800.6640625,25791.095703125,0.75
george,50.0,54.0,neumark,1,26738.673828125,25716.642578125,0.375
greg,58.03583061889251,63.557003257328994,bertrand,307,26740.46484375,25737.533203125,0.625
greg johnson,70.71428571428571,78.42857142857143,oreopoulos,14,27019.998046875,25979.7578125,0.75
hakim,45.57516339869281,50.95424836601307,bertrand,306,26562.48046875,25570.904296875,1.75
hannah,76.0,72.0,neumark,2,26735.8828125,25731.322265625,1.0
hassan khan,45.22222222222222,55.333333333333336,oreopoulos,9,26900.51171875,25867.98046875,1.5
heather,62.20065789473684,58.67763157894737,farber,304,26738.494140625,25729.009765625,0.875
hina chaudhry,48.666666666666664,56.22222222222222,oreopoulos,9,24995.85546875,24060.259765625,1.375
imani williams,55.170731707317074,51.09756097560975,gorzig,41,27035.904296875,25999.94140625,1.25
isabella,55.5,59.5,neumark,2,26987.263671875,25978.197265625,1.375
jack li,51.1875,73.5,oreopoulos,16,26799.796875,25746.220703125,1.125
jacob,59.27450980392157,64.61274509803921,flake_leasure,204,26546.2734375,25556.16015625,1.25
jacob myers,54.61702127659574,66.70212765957447,gorzig,47,26269.552734375,25266.990234375,1.125
jake kelly,51.22,63.91,nunley,100,26890.927734375,25845.76171875,1.125
jalen harris,56.093023255813954,55.372093023255815,gorzig,43,25902.880859375,24944.287109375,1.75
jamal,48.56535947712418,50.31372549019608,bertrand,306,26931.080078125,25923.431640625,1.5
james liu,60.111111111111114,73.16666666666667,oreopoulos,18,27038.28515625,25980.583984375,1.0
james yoder,64.37209302325581,73.5813953488372,widner,43,25812.724609375,24798.39453125,1.0
janet,75.0,73.0,neumark,1,26684.5,25672.435546875,0.5
janice,48.08,57.77,farber,100,26729.072265625,25734.341796875,1.0
jasmine washington,64.27619047619048,62.63809523809524,jacquemet,105,26994.087890625,25911.109375,1.125
jason,58.416666666666664,66.18137254901961,flake_leasure,204,26793.2265625,25797.7109375,1.375
jay,56.039087947882734,60.045901639344265,bertrand,307,26556.1484375,25563.59765625,1.75
