mode,axis,story_id,topic_idx,condition,label,direction,strength,margin,delta_margin,judgment_axis,steering_axis,direction_type,random_id,vector_kind
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,competence,-0.05,17.34375,-1.52734375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,competence,-0.05,-22.3125,-0.65625,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,-0.05,-22.34375,-0.25,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,-0.05,-22.59375,-0.34375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,competence,-0.05,-20.25,-0.484375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,competence,-0.05,-23.0,-0.4375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,competence,-0.05,-23.1875,-0.46875,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,competence,-0.05,-23.5,-0.625,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,competence,-0.05,-23.125,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,competence,-0.05,-22.78125,-0.75,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,competence,-0.05,-22.71875,-0.03125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,competence,0.0,17.8623046875,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,0.0,17.7578125,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,0.0,18.20703125,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,competence,0.0,18.78515625,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,competence,0.0,18.396484375,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,competence,0.0,17.578125,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,competence,0.0,18.4970703125,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,competence,0.0,18.3599853515625,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,competence,0.0,17.02734375,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,competence,0.0,18.87109375,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,competence,0.0,-21.65625,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,0.0,-22.09375,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,0.0,-22.25,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,competence,0.0,-19.765625,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,competence,0.0,-22.5625,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,competence,0.0,-22.71875,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,competence,0.0,-22.875,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,competence,0.0,-23.125,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,competence,0.0,-22.03125,0.0,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,competence,0.0,-22.6875,0.0,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,competence,0.05,18.65234375,0.7900390625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,0.05,18.515625,0.7578125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,0.05,19.0625,0.85546875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,competence,0.05,19.453125,0.66796875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,competence,0.05,19.3125,0.916015625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,competence,0.05,18.38336181640625,0.80523681640625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,competence,0.05,19.28125,0.7841796875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,competence,0.05,19.5078125,1.1478271484375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,competence,0.05,17.861328125,0.833984375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,competence,0.05,19.5390625,0.66796875,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,competence,0.05,-20.46875,1.1875,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,0.05,-20.5,1.59375,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t008_s00049,8,low_warmth,0,competence,0.05,-20.625,1.625,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t035_s00093,35,low_warmth,0,competence,0.05,-18.3125,1.453125,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t056_s00129,56,low_warmth,0,competence,0.05,-21.09375,1.46875,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t057_s00133,57,low_warmth,0,competence,0.05,-21.15625,1.5625,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t066_s00141,66,low_warmth,0,competence,0.05,-21.6875,1.1875,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t078_s00165,78,low_warmth,0,competence,0.05,-21.96875,1.15625,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t079_s00169,79,low_warmth,0,competence,0.05,-20.75,1.28125,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t097_s00197,97,low_warmth,0,competence,0.05,-21.0625,1.625,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t019_s00004,19,high_warmth,1,competence,0.1,19.1484375,1.2861328125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t003_s00028,3,high_warmth,1,competence,0.1,19.28125,1.5234375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t008_s00048,8,high_warmth,1,competence,0.1,19.5625,1.35546875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t035_s00092,35,high_warmth,1,competence,0.1,20.25,1.46484375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t056_s00128,56,high_warmth,1,competence,0.1,19.7578125,1.361328125,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t057_s00132,57,high_warmth,1,competence,0.1,19.07421875,1.49609375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t066_s00140,66,high_warmth,1,competence,0.1,20.0703125,1.5732421875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t078_s00164,78,high_warmth,1,competence,0.1,19.9921875,1.6322021484375,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t079_s00168,79,high_warmth,1,competence,0.1,18.5703125,1.54296875,warmth,competence,cross_axis,,raw
steering,warmth,high_warmth_t097_s00196,97,high_warmth,1,competence,0.1,20.421875,1.55078125,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t019_s00005,19,low_warmth,0,competence,0.1,-18.625,3.03125,warmth,competence,cross_axis,,raw
steering,warmth,low_warmth_t003_s00029,3,low_warmth,0,competence,0.1,-18.546875,3.546875,warmth,competence,cross_axis,,raw
